 ========== 通过服务调用获取DH参数 ==========
    关节  |    d    |    a    |  alpha  | offset
 --------|---------|---------|---------|--------
    1    |  0.2405 |  0.0000 | -90.0000 |  0.0000
    2    |  0.0000 |  0.0000 |  90.0000 |  0.0000
    3    |  0.2560 |  0.0000 | -90.0000 |  0.0000
    4    |  0.0000 |  0.0000 |  90.0000 |  0.0000
    5    |  0.2100 |  0.0000 | -90.0000 |  0.0000
    6    |  0.0000 |  0.0000 |  90.0000 |  0.0000
    7    |  0.1612 |  0.0000 |   0.0000 |  0.0000
 ========== 从URDF文件中解析DH参数 ==========
    关节  |    d    |    a    |  alpha  | theta_offset
 --------|---------|---------|---------|-------------
    1    |  0.2405 |  0.0000 |  1.5708 |  0.0000
    2    |  0.0000 |  0.0000 |  0.0000 |  1.5708
    3    |  0.0000 |  0.0000 |  0.0000 |  0.0000
    4    |  0.0000 |  0.0000 |  1.5708 |  0.0000
    5    |  0.0000 |  0.0000 | -1.5708 |  0.0000
    6    |  0.0000 |  0.0000 |  0.0000 |  0.0000
    7    |  0.0000 |  0.0000 |  0.0000 |  0.0000
