joint1,joint2,joint3,joint4,joint5,joint6,joint7
-0.0506389,0.636868,1.8327,1.47356,-0.00572656,0.614782,-0.0494808
-0.0505343,0.636854,1.83261,1.47354,-0.00573696,0.614734,-0.0494734
-0.0499022,0.636773,1.83212,1.47344,-0.0057999,0.614445,-0.0494282
-0.048465,0.636589,1.831,1.47322,-0.00594325,0.613787,-0.0493252
-0.0461682,0.636295,1.82921,1.47286,-0.00617288,0.612737,-0.0491603
-0.0431249,0.635909,1.82684,1.47239,-0.00647802,0.61135,-0.0489411
-0.0395614,0.635459,1.82406,1.47183,-0.00683666,0.609728,-0.0486834
-0.0357619,0.634984,1.82109,1.47123,-0.00722097,0.608005,-0.0484071
-0.0320137,0.634521,1.81817,1.47063,-0.00760263,0.606313,-0.0481326
-0.0285524,0.6341,1.81547,1.47007,-0.00795825,0.604759,-0.0478766
-0.0255069,0.633738,1.8131,1.46957,-0.00827476,0.603403,-0.0476485
-0.0228441,0.633428,1.81102,1.46913,-0.00855479,0.602226,-0.0474465
-0.0219171,0.633321,1.8103,1.46898,-0.00865278,0.601818,-0.0473758
-0.0219171,0.633321,1.8103,1.46898,-0.00865278,0.601818,-0.0473758
-0.0194136,0.633034,1.80835,1.46856,-0.00891771,0.600717,-0.0471846
-0.0169119,0.632749,1.8064,1.46813,-0.00918339,0.59962,-0.0469928
-0.0144138,0.632469,1.80445,1.46771,-0.00945039,0.598529,-0.0468
-0.0119203,0.632194,1.8025,1.46728,-0.00971908,0.597447,-0.0466058
-0.00943245,0.631925,1.80056,1.46685,-0.00998966,0.596375,-0.04641
-0.00695071,0.631662,1.79863,1.46641,-0.0102622,0.595313,-0.0462127
-0.00447521,0.631406,1.7967,1.46597,-0.0105366,0.594261,-0.046014
-0.00200568,0.631155,1.79477,1.46552,-0.0108126,0.593218,-0.0458139
0.000458599,0.630909,1.79285,1.46508,-0.0110899,0.592181,-0.0456128
0.00291879,0.630666,1.79093,1.46463,-0.0113683,0.59115,-0.0454109
0.00537652,0.630425,1.78902,1.46418,-0.0116472,0.590121,-0.0452086
0.00577943,0.630385,1.7887,1.4641,-0.0116929,0.589953,-0.0451754
0.00577943,0.630385,1.7887,1.4641,-0.0116929,0.589953,-0.0451754
0.00823619,0.630145,1.78679,1.46365,-0.0119721,0.588925,-0.0449729
0.0106908,0.629907,1.78487,1.4632,-0.012252,0.587902,-0.0447698
0.0131417,0.629673,1.78296,1.46274,-0.0125331,0.586885,-0.0445657
0.0155873,0.629445,1.78106,1.46229,-0.0128158,0.585876,-0.0443603
0.0180268,0.629222,1.77916,1.46182,-0.0131003,0.584877,-0.0441536
0.0204598,0.629005,1.77726,1.46136,-0.0133866,0.583886,-0.0439454
