joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint7
-0.0508685,0.63636,1.83276,1.47354,-0.00587618,0.614802,-0.0495677
-0.0467029,0.577714,1.81651,1.46855,-0.0255415,0.602397,-0.0565047
-0.0403304,0.521824,1.79793,1.46375,-0.0440689,0.590643,-0.0638063
-0.0312798,0.468627,1.77664,1.45906,-0.0615768,0.579574,-0.0714361
-0.0189267,0.418084,1.75211,1.45446,-0.0782132,0.569208,-0.0793854
-0.00242684,0.370185,1.72362,1.44991,-0.0941871,0.559556,-0.0876971
0.0193838,0.324979,1.69016,1.44539,-0.109833,0.550625,-0.096514
0.0481357,0.282615,1.65037,1.44089,-0.125746,0.542428,-0.106179
0.0861151,0.243441,1.60247,1.43641,-0.143071,0.535011,-0.117449
0.136398,0.208196,1.54431,1.43195,-0.164095,0.528503,-0.131923
0.202446,0.178324,1.47428,1.42752,-0.193238,0.523224,-0.152771
0.285828,0.156128,1.39371,1.42312,-0.237615,0.519889,-0.185108
0.381542,0.143626,1.31021,1.41875,-0.303433,0.519676,-0.233269
0.478231,0.140078,1.23421,1.41442,-0.387839,0.523681,-0.294731
0.567372,0.142507,1.17044,1.41011,-0.480428,0.532159,-0.361333
0.646415,0.148394,1.11833,1.40584,-0.572484,0.544592,-0.426279
0.715645,0.156281,1.07593,1.4016,-0.659366,0.560135,-0.485988
0.776161,0.165349,1.04134,1.39741,-0.73913,0.577912,-0.53905
0.829193,0.175098,1.01296,1.39328,-0.811278,0.597134,-0.585248
0.875884,0.185204,0.989473,1.38923,-0.876041,0.617145,-0.624967
0.91723,0.195441,0.969819,1.38527,-0.933985,0.63743,-0.658857
0.954059,0.205649,0.953172,1.3814,-0.985799,0.657597,-0.687651
0.987054,0.215713,0.93889,1.37764,-1.03218,0.677362,-0.712067
1.01677,0.225552,0.926478,1.37398,-1.0738,0.696525,-0.732759
1.04366,0.235109,0.915559,1.37044,-1.11122,0.714952,-0.750303
1.0681,0.244345,0.905845,1.36702,-1.14499,0.732563,-0.765193
1.09038,0.253236,0.897116,1.36372,-1.17553,0.749312,-0.777849
1.11077,0.261768,0.889203,1.36053,-1.20326,0.765185,-0.788624
1.12948,0.269936,0.881976,1.35747,-1.22849,0.780184,-0.797815
1.14668,0.277737,0.875334,1.35452,-1.25151,0.794328,-0.805667
1.16254,0.285177,0.869196,1.3517,-1.27257,0.807643,-0.812387
1.17718,0.292263,0.863499,1.34899,-1.29189,0.820163,-0.818148
1.19071,0.299003,0.858194,1.34639,-1.30964,0.831925,-0.823095
1.20325,0.305409,0.853238,1.3439,-1.32599,0.842967,-0.827348
1.21488,0.311492,0.848598,1.34152,-1.34107,0.85333,-0.83101
1.22568,0.317266,0.844244,1.33925,-1.35502,0.863051,-0.834167
1.23572,0.322742,0.840153,1.33708,-1.36792,0.872169,-0.83689
1.24506,0.327933,0.836304,1.33501,-1.37989,0.880721,-0.839242
1.25376,0.332854,0.832679,1.33303,-1.39099,0.888742,-0.841275
1.26187,0.337515,0.829262,1.33115,-1.40132,0.896266,-0.843032
1.26943,0.341929,0.826038,1.32935,-1.41092,0.903324,-0.844553
1.2765,0.346109,0.822996,1.32765,-1.41987,0.909946,-0.845869
1.2831,0.350066,0.820124,1.32602,-1.42822,0.91616,-0.847008
1.28927,0.353811,0.817411,1.32447,-1.43601,0.921993,-0.847994
1.29504,0.357356,0.814849,1.323,-1.44328,0.927469,-0.848847
1.30044,0.360709,0.812427,1.3216,-1.45008,0.932611,-0.849585
1.3055,0.363882,0.810138,1.32027,-1.45644,0.93744,-0.850223
1.31024,0.366883,0.807974,1.31901,-1.46239,0.941977,-0.850774
1.31468,0.369722,0.805929,1.31781,-1.46797,0.946241,-0.85125
1.31885,0.372407,0.803995,1.31667,-1.47319,0.950248,-0.85166
1.32276,0.374946,0.802167,1.31559,-1.47809,0.954015,-0.852013
1.32643,0.377347,0.800438,1.31456,-1.48269,0.957557,-0.852317
1.32988,0.379618,0.798804,1.31359,-1.487,0.960889,-0.852578
1.33311,0.381765,0.797258,1.31267,-1.49106,0.964023,-0.852801
1.33615,0.383795,0.795797,1.31179,-1.49486,0.966972,-0.852991
1.33901,0.385714,0.794415,1.31096,-1.49843,0.969748,-0.853153
1.3417,0.387529,0.793108,1.31018,-1.5018,0.97236,-0.85329
1.34423,0.389244,0.791872,1.30943,-1.50495,0.97482,-0.853406
1.3466,0.390866,0.790704,1.30872,-1.50793,0.977136,-0.853503
1.34884,0.392399,0.789599,1.30805,-1.51072,0.979317,-0.853585
1.35094,0.393848,0.788555,1.30742,-1.51335,0.981372,-0.853652
1.35293,0.395218,0.787567,1.30682,-1.51583,0.983308,-0.853707
1.35479,0.396513,0.786634,1.30625,-1.51816,0.985132,-0.853751
1.35655,0.397737,0.785751,1.30571,-1.52036,0.986852,-0.853787
1.3582,0.398894,0.784916,1.3052,-1.52243,0.988472,-0.853814
1.35976,0.399988,0.784127,1.30472,-1.52438,0.989999,-0.853835
1.36123,0.401022,0.783381,1.30426,-1.52621,0.991439,-0.853851
1.36262,0.401999,0.782675,1.30383,-1.52794,0.992797,-0.853861
1.36392,0.402922,0.782009,1.30342,-1.52958,0.994078,-0.853868
1.36515,0.403795,0.781378,1.30303,-1.53111,0.995285,-0.85387
1.36631,0.40462,0.780782,1.30266,-1.53256,0.996424,-0.85387
1.3674,0.405399,0.780219,1.30232,-1.53393,0.997499,-0.853867
1.36843,0.406136,0.779686,1.30199,-1.53522,0.998512,-0.853863
1.36941,0.406833,0.779183,1.30168,-1.53644,0.999469,-0.853856
1.37032,0.407491,0.778707,1.30138,-1.53758,1.00037,-0.853848
1.37119,0.408113,0.778257,1.3011,-1.53867,1.00122,-0.853839
1.37201,0.408701,0.777832,1.30084,-1.53969,1.00203,-0.853829
1.37278,0.409257,0.77743,1.30059,-1.54065,1.00278,-0.853819
1.3735,0.409782,0.77705,1.30036,-1.54156,1.0035,-0.853808
1.37419,0.410278,0.776691,1.30013,-1.54242,1.00418,-0.853796
1.37484,0.410747,0.776351,1.29992,-1.54323,1.00481,-0.853784
1.37545,0.411191,0.776031,1.29973,-1.54399,1.00542,-0.853773
1.37602,0.41161,0.775727,1.29954,-1.54471,1.00598,-0.853761
1.37657,0.412005,0.775441,1.29936,-1.54539,1.00652,-0.853749
1.37708,0.41238,0.77517,1.29919,-1.54604,1.00703,-0.853737
1.37757,0.412733,0.774914,1.29903,-1.54664,1.00751,-0.853726
1.37803,0.413067,0.774672,1.29888,-1.54722,1.00796,-0.853714
1.37846,0.413383,0.774443,1.29874,-1.54776,1.00838,-0.853703
1.37887,0.413682,0.774227,1.2986,-1.54827,1.00879,-0.853692
1.37925,0.413964,0.774022,1.29848,-1.54875,1.00917,-0.853682
1.37962,0.41423,0.773829,1.29836,-1.54921,1.00953,-0.853672
1.37996,0.414482,0.773647,1.29824,-1.54964,1.00987,-0.853662
1.38028,0.41472,0.773474,1.29814,-1.55004,1.01019,-0.853652
1.38059,0.414945,0.773311,1.29803,-1.55043,1.01049,-0.853643
1.38088,0.415158,0.773157,1.29794,-1.55079,1.01078,-0.853634
1.38115,0.415359,0.773011,1.29785,-1.55113,1.01105,-0.853625
1.38141,0.415549,0.772874,1.29776,-1.55146,1.0113,-0.853617
1.38166,0.415728,0.772744,1.29768,-1.55176,1.01154,-0.853609
1.38189,0.415898,0.772621,1.2976,-1.55205,1.01177,-0.853602
1.3821,0.416058,0.772505,1.29753,-1.55232,1.01198,-0.853594
1.38231,0.41621,0.772395,1.29746,-1.55258,1.01219,-0.853587
